PS_JC,JC_RW,RW_DW,DW_AA,AA_AK
23.255812990942257,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
24.90745822912855,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
28.401357220621737,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
32.05591481459423,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
37.26645261164979,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
36.548089395778845,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
33.50030838349062,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
28.849260723579714,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
23.12373762421428,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
18.655514491505876,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
15.199355376163266,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
12.513765032248653,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
10.929532288402175,10.970500927343336,3.91629896732757,4.820478281637615,5.776277672136865
7.777013772974184,9.294989558289515,3.91629896732757,4.820478281637615,5.776277672136865
8.60074862307917,6.1160611859207945,3.91629896732757,4.820478281637615,5.776277672136865
10.164154269591243,3.9802034219843874,3.91629896732757,4.820478281637615,5.776277672136865
11.008110304859422,3.4984776572068186,3.91629896732757,4.820478281637615,5.776277672136865
11.04621356402923,3.290551437951634,3.91629896732757,4.820478281637615,5.776277672136865
10.746605560559582,3.4134190044078707,3.91629896732757,4.820478281637615,5.776277672136865
10.345084060918886,3.8974523726231887,3.91629896732757,4.820478281637615,5.776277672136865
10.417559132712569,4.643947312108606,3.91629896732757,4.820478281637615,5.776277672136865
10.667656560455159,5.909082351371917,4.067317085255905,4.820478281637615,5.776277672136865
10.543931598315353,6.847249990260126,3.9896890681442603,4.820478281637615,5.776277672136865
10.460039454596936,7.109652539009116,4.522445973082086,4.820478281637615,5.776277672136865
10.00739908006118,7.825961078661474,4.9624974695817405,5.796969206891637,5.776277672136865
