u,v,key
677709137,218172662,0
218172662,16334344,0
16334344,52183950,0
52183950,499170115,0
499170115,484926802,0
484926802,3032426990,0
3032426990,3032426984,0
3032426984,25911709,0
25911709,3032466755,0
3032466755,3032426962,0
3032426962,18130114,0
18130114,8545043237,0
8545043237,1758886192,0
1758886192,3228504539,0
3228504539,18130101,0
18130101,199166130,0
199166130,348093725,0
348093725,242891817,0
242891817,218388613,0
218388613,243050656,0
243050656,540212336,0
540212336,243175300,0
243175300,540212360,0
540212360,27140876,0
27140876,230542924,0
230542924,16738093,0
16738093,540212381,0
540212381,8827659758,0
8827659758,1983285273,0
1983285273,8827815037,0
8827815037,593807553,0
