od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(61221089, 2071928295)",53.5519609,9.9672594,53.5507188,10.0047553,2.7999549999999997,159.25889999999998,0.5276955000000001,2.7999549999999997,159.25889999999998,0.5276955000000001,True,2.7999549999999997,159.25889999999998,0.5276955000000001,True
"(20948570, 21112779)",53.5697546,9.9704199,53.5723711,9.9676395,0.482113,49.9481,0.08871130000000002,0.482113,49.9481,0.08871130000000002,True,0.482113,49.9481,0.08871130000000002,True
"(266199067, 18652834)",53.5576058,9.9930987,53.5742652,9.988709,2.0237709999999995,119.63220000000001,0.3464771,2.0237709999999995,119.63220000000001,0.3464771,True,2.0237709999999995,119.63220000000001,0.3464771,True
"(205067293, 229342111)",53.5530016,9.9964522,53.5705037,9.9762371,3.001099,184.3529,0.4847099,3.001099,184.3529,0.4847099,True,3.001099,184.3529,0.4847099,True
"(238002053, 76463167)",53.5565469,9.9902425,53.5421415,9.995974,2.1823019999999995,171.20239999999998,0.41343019999999997,2.1823019999999995,171.20239999999998,0.41343019999999997,True,2.1823019999999995,171.20239999999998,0.41343019999999997,True
"(319060332, 164018116)",53.5555674,10.0087126,53.5720777,9.9590537,4.288227,237.9329,0.7029227,4.288227,237.9329,0.7029227,True,4.288227,237.9329,0.7029227,True
"(18161562, 1975693617)",53.5671692,9.9571256,53.5539122,10.0036849,3.848089,181.56310000000002,0.6332089000000001,3.848089,181.56310000000002,0.6332089000000001,True,3.848089,181.56310000000002,0.6332089000000001,True
"(236786506, 205083191)",53.550094,9.9718027,53.550023,9.9938797,1.7320099999999998,122.1981,0.324001,1.7320099999999998,122.1981,0.324001,True,1.7320099999999998,122.1981,0.324001,True
"(299330502, 297242778)",53.5704536,9.9560574,53.564322,9.9622224,1.044353,148.2912,0.21813530000000003,1.0589110000000002,107.1925,0.2062911,False,1.0589110000000002,107.1925,0.2062911,False
"(17705444, 20830209)",53.5616188,9.9535658,53.5717604,9.9885877,2.8758569999999994,162.3809,0.5151857,2.8758569999999994,162.3809,0.5151857,True,2.8758569999999994,162.3809,0.5151857,True
"(2071928295, 25737301)",53.5507188,10.0047553,53.545959,10.0030688,0.614675,96.67710000000001,0.1410675,0.614675,96.67710000000001,0.1410675,True,0.614675,96.67710000000001,0.1410675,True
"(1562385921, 93195000)",53.5605683,9.9584468,53.5541754,10.0116267,4.292663999999999,263.2762,0.7589663999999999,4.292663999999999,263.2762,0.7589663999999999,True,4.292663999999999,263.2762,0.7589663999999999,True
"(743152160, 353900197)",53.5414237,9.9936722,53.5680843,9.9907522,3.936483,328.7444,0.7353483000000001,4.139406,222.8834,0.6693406000000001,False,4.139406,222.8834,0.6693406000000001,False
