od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(18653539, 21450340)",53.5483633,9.9833058,53.5583406,9.9710883,2.030493,141.0365,0.3347493,2.124643,116.56779999999999,0.33256430000000003,False,2.124643,116.56779999999999,0.33256430000000003,False
"(76463158, 652794204)",53.5427736,9.9850464,53.5578758,9.9637663,2.7426880000000002,178.3326,0.47436880000000003,2.7426880000000002,178.3326,0.47436880000000003,True,2.7426880000000002,178.3326,0.47436880000000003,True
"(20823484, 76463167)",53.567535,9.9585321,53.5421415,9.995974,4.607696999999999,412.8134,0.8831697,5.0858089999999985,313.3718,0.8989809,False,4.607696999999999,412.8134,0.8831697,True
"(17705444, 28929024)",53.5616188,9.9535658,53.5695385,9.9543594,1.0951980000000001,68.5073,0.17151980000000003,1.0951980000000001,68.5073,0.17151980000000003,True,1.0951980000000001,68.5073,0.17151980000000003,True
"(14398550, 26084079)",53.5577857,9.9931898,53.5586242,9.9937705,0.214804,80.6032,0.0774804,0.214804,80.6032,0.0774804,True,0.214804,80.6032,0.0774804,True
"(36571734, 25737307)",53.551189,9.9822209,53.542708,9.9844738,1.5951619999999997,170.7062,0.2732162,1.6953119999999997,164.51979999999998,0.2842312,False,1.5951619999999997,170.7062,0.2732162,True
"(18652834, 87985974)",53.5742652,9.988709,53.5481136,9.9652311,4.004605,253.5385,0.6664605,4.004605,253.5385,0.6664605,True,4.004605,253.5385,0.6664605,True
"(759714713, 164018116)",53.5426897,9.9850569,53.5720777,9.9590537,4.456205,262.2332,0.7761205,4.456205,262.2332,0.7761205,True,4.456205,262.2332,0.7761205,True
"(218155333, 2556672584)",53.5576022,9.9612184,53.5630678,9.9655186,1.18834,118.9676,0.21643400000000002,1.18834,118.9676,0.21643400000000002,True,1.18834,118.9676,0.21643400000000002,True
"(20243509, 87985974)",53.5652324,9.9803937,53.5481136,9.9652311,2.5454749999999997,204.7695,0.4525475,2.5454749999999997,204.7695,0.4525475,True,2.5454749999999997,204.7695,0.4525475,True
"(52707275, 20823484)",53.5545975,9.9584162,53.567535,9.9585321,2.131712,192.0529,0.3487712,2.167319,161.95159999999998,0.37913189999999997,False,2.1887329999999996,189.37619999999998,0.3484733,False
"(1562406626, 76463179)",53.5595535,9.9958935,53.541951,10.003103,2.5752820000000005,167.3466,0.47912820000000006,2.6585799999999997,166.9013,0.513558,False,2.5752820000000005,167.3466,0.47912820000000006,True
"(205067293, 34023088)",53.5530016,9.9964522,53.5472591,9.9919528,0.8959859999999998,36.9084,0.1448986,0.8959859999999998,36.9084,0.1448986,True,0.8959859999999998,36.9084,0.1448986,True
