node,prev,curr,angle,geometry
499170115,"(52183950, 499170115, 0)","(499170115, 484926802, 0)",32.917028336663115,POINT (9.9694163 53.5500226)
3032466755,"(25911709, 3032466755, 0)","(3032466755, 3032426962, 0)",117.26198632083214,POINT (9.9693443 53.5459725)
230542924,"(27140876, 230542924, 0)","(230542924, 16738093, 0)",48.829792528845466,POINT (9.9875092 53.5486659)
266197536,"(266199063, 266197536, 0)","(266197536, 266197525, 0)",40.28747925825631,POINT (9.9942053 53.5585442)
266197525,"(266197536, 266197525, 0)","(266197525, 1562406613, 0)",40.33363394590002,POINT (9.9940419 53.5587829)
299207657,"(5077328711, 299207657, 0)","(299207657, 16334337, 0)",63.59334272889497,POINT (9.9772813 53.5643574)
