v1_lat,v1_lon,v2_lat,v2_lon
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503242,9.9695173,53.55024599,9.96948501
53.5503127,9.9695109,53.55024599,9.96948501
53.5502922,9.969498,53.55024599,9.96948501
53.5502643,9.9694791,53.55024599,9.96948501
53.5502203,9.9694579,53.55024599,9.96948501
53.546303,9.9697149,53.54631389,9.96971508
53.546303,9.9697149,53.54631389,9.96971508
53.546303,9.9697149,53.54631389,9.96971508
53.546303,9.9697149,53.54631389,9.96971508
53.546292,9.9697056,53.54631389,9.96971508
53.5462763,9.9696888,53.54631389,9.96971508
53.5462444,9.9696381,53.54631389,9.96971508
53.5462038,9.969581,53.54631389,9.96971508
53.5461563,9.9695279,53.54631389,9.96971508
53.5460838,9.969475,53.54631382,9.96971501
53.5460386,9.9694853,53.54631382,9.96971501
53.5459941,9.9695147,53.54631382,9.96971501
53.5459549,9.9695622,53.54631382,9.96971501
53.5459214,9.9696369,53.54630824,9.96970525
53.5458774,9.969836,53.54625366,9.9696299
53.5458528,9.9699481,53.54621278,9.96958231
53.5458528,9.9699481,53.54621278,9.96958231
53.5458215,9.9700716,53.54616922,9.96954231
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453505,9.9727523,53.5454207,9.97194128
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5453279,9.9728955,53.54540134,9.97225255
53.5452983,9.9730399,53.54538964,9.97240495
53.5452983,9.9730399,53.54538964,9.97240495
53.5452983,9.9730399,53.54538964,9.97240495
53.5452983,9.9730399,53.54538964,9.97240495
53.5452983,9.9730399,53.54538964,9.97240495
53.5452623,9.9731861,53.54537201,9.97256759
53.5452187,9.9733372,53.5453475,9.97274433
53.5451675,9.9734957,53.54531348,9.97293322
53.5451142,9.9736569,53.54526765,9.97312912
53.54506,9.9738226,53.54521223,9.97332344
53.5450041,9.9739901,53.54515267,9.97351044
53.5449486,9.974162,53.54509289,9.97369307
53.5448634,9.9744235,53.54503419,9.97387279
53.5448196,9.9745586,53.54497666,9.97404908
53.544771,9.9747137,53.54491997,9.97422446
53.5447187,9.9748772,53.54486351,9.97440049
53.5446629,9.9750439,53.5448014,9.97459236
