,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,   -0.9247,    1.606,   -0.576, 0.565,   -4.076,    2.226
2,Feat_Curve,    8.4330,    1.014,    8.320, 0.000,    6.445,   10.421
3,Feat_Road_immission,    1.6659,    2.018,    0.826, 0.409,   -2.292,    5.624
4,Feat_Traffic_light,    1.5110,    0.245,    6.164, 0.000,    1.030,    1.992
5,Feat_Turn_left,    2.6502,    5.707,    0.464, 0.642,   -8.546,   13.846
6,Feat_Turn_right,    0.5417,    0.719,    0.754, 0.451,   -0.868,    1.952
7,old_dist,    0.7043,    0.020,   34.939, 0.000,    0.665,    0.744
