,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,   11.1383,    5.740,    1.940, 0.052,   -0.114,   22.391
2,Feat_Curve,   -0.8868,    3.550,   -0.250, 0.803,   -7.845,    6.071
3,Feat_Road_immission,   -0.7013,    3.134,   -0.224, 0.823,   -6.846,    5.443
4,Feat_Traffic_light,    7.2306,    0.975,    7.417, 0.000,    5.320,    9.142
5,Feat_Turn_left,    6.4582,    2.707,    2.386, 0.017,    1.152,   11.764
6,Feat_Turn_right,   14.7967,    2.665,    5.552, 0.000,    9.572,   20.021
7,old_dist,    0.9643,    0.003,  299.446, 0.000,    0.958,    0.971
