,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    1.0887,   15.823,    0.069, 0.945,  -29.953,   32.131
2,Feat_Curve,    9.0511,    7.914,    1.144, 0.253,   -6.475,   24.577
3,Feat_Road_immission,   -0.4847,   14.801,   -0.033, 0.974,  -29.522,   28.552
4,Feat_Traffic_light,   14.4631,    1.950,    7.417, 0.000,   10.638,   18.289
5,Feat_Turn_left,   13.1626,    6.567,    2.004, 0.045,    0.279,   26.046
6,Feat_Turn_right,   13.3456,    3.927,    3.399, 0.001,    5.642,   21.049
7,old_dist,    0.9930,    0.003,  390.735, 0.000,    0.988,    0.998
