,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,   34.6521,   11.072,    3.130, 0.002,   12.949,   56.355
2,Feat_Curve,   43.8413,    6.024,    7.277, 0.000,   32.032,   55.650
3,Feat_Road_immission,   23.2445,    6.641,    3.500, 0.000,   10.227,   36.262
4,Feat_Traffic_light,   38.6647,    3.251,   11.893, 0.000,   32.292,   45.037
5,Feat_Turn_left,   33.1208,    7.548,    4.388, 0.000,   18.324,   47.918
6,Feat_Turn_right,   57.3927,    4.042,   14.200, 0.000,   49.470,   65.315
7,old_dist,    0.9517,    0.003,  304.519, 0.000,    0.946,    0.958
