,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    6.1864,    2.869,    2.156, 0.031,    0.558,   11.815
2,Feat_Curve,    1.1231,    1.816,    0.619, 0.536,   -2.439,    4.685
3,Feat_Road_immission,    1.2422,    1.878,    0.661, 0.508,   -2.442,    4.926
4,Feat_Traffic_light,    2.6767,    0.409,    6.552, 0.000,    1.875,    3.478
5,Feat_Turn_left,   14.7726,    4.969,    2.973, 0.003,    5.025,   24.520
6,Feat_Turn_right,   13.8288,    1.254,   11.025, 0.000,   11.368,   16.290
7,old_dist,    0.6935,    0.020,   35.253, 0.000,    0.655,    0.732
