,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,   11.3491,    3.176,    3.573, 0.000,    5.118,   17.581
2,Feat_Curve,    1.6407,    2.338,    0.702, 0.483,   -2.946,    6.227
3,Feat_Road_immission,    2.1306,    2.613,    0.815, 0.415,   -2.996,    7.257
4,Feat_Traffic_light,    1.5200,    0.616,    2.468, 0.014,    0.312,    2.728
5,Feat_Turn_left,  -18.8124,    2.804,   -6.710, 0.000,  -24.312,  -13.312
6,Feat_Turn_right,   12.8897,    1.516,    8.502, 0.000,    9.916,   15.864
7,old_dist,    0.8786,    0.014,   64.368, 0.000,    0.852,    0.905
