,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,   -1.4838,    1.648,   -0.900, 0.368,   -4.717,    1.749
2,Feat_Curve,    1.6061,    1.865,    0.861, 0.389,   -2.053,    5.265
3,Feat_Road_immission,    4.5274,    3.328,    1.361, 0.174,   -2.001,   11.055
4,Feat_Traffic_light,    2.2272,    0.464,    4.796, 0.000,    1.316,    3.138
5,Feat_Turn_left,    6.3616,    1.490,    4.270, 0.000,    3.439,    9.284
6,Feat_Turn_right,   -4.3136,    1.154,   -3.737, 0.000,   -6.578,   -2.049
7,old_dist,    0.9212,    0.011,   86.260, 0.000,    0.900,    0.942
