,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0024,    0.000,    6.890, 0.000,    0.002,    0.003
2,Feat_Curve,    0.0020,    0.000,    9.398, 0.000,    0.002,    0.002
3,Feat_Road_immission,    0.0046,    0.000,   23.752, 0.000,    0.004,    0.005
4,Feat_Traffic_light,    0.0037, 5.97e-05,   61.749, 0.000,    0.004,    0.004
5,Feat_Turn_left,    0.0028,    0.000,   16.840, 0.000,    0.002,    0.003
6,Feat_Turn_right,    0.0053,    0.000,   32.313, 0.000,    0.005,    0.006
7,old_dist, 1.602e-06, 1.97e-07,    8.127, 0.000, 1.22e-06, 1.99e-06
