,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0085,    0.002,    4.919, 0.000,    0.005,    0.012
2,Feat_Curve,    0.0050,    0.001,    4.594, 0.000,    0.003,    0.007
3,Feat_Road_immission,    0.0101,    0.001,    8.917, 0.000,    0.008,    0.012
4,Feat_Traffic_light,    0.0055,    0.000,   22.434, 0.000,    0.005,    0.006
5,Feat_Turn_left,    0.0041,    0.003,    1.363, 0.173,   -0.002,    0.010
6,Feat_Turn_right,    0.0060,    0.001,    7.968, 0.000,    0.005,    0.008
7,old_dist, 8.311e-05, 1.19e-05,    6.982, 0.000, 5.98e-05,    0.000
