,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0060,    0.001,    6.883, 0.000,    0.004,    0.008
2,Feat_Curve,    0.0038,    0.001,    6.855, 0.000,    0.003,    0.005
3,Feat_Road_immission,    0.0002,    0.001,    0.203, 0.839,   -0.002,    0.002
4,Feat_Traffic_light,    0.0030,    0.000,   22.032, 0.000,    0.003,    0.003
5,Feat_Turn_left,    0.0029,    0.003,    0.935, 0.350,   -0.003,    0.009
6,Feat_Turn_right,    0.0031,    0.000,    7.954, 0.000,    0.002,    0.004
7,old_dist, 9.957e-05,  1.1e-05,    9.041, 0.000,  7.8e-05,    0.000
