,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0041,    0.001,    5.413, 0.000,    0.003,    0.006
2,Feat_Curve,    0.0036,    0.001,    6.360, 0.000,    0.002,    0.005
3,Feat_Road_immission,    0.0038,    0.001,    6.120, 0.000,    0.003,    0.005
4,Feat_Traffic_light,    0.0040,    0.000,   27.248, 0.000,    0.004,    0.004
5,Feat_Turn_left,   -0.0002,    0.001,   -0.305, 0.760,   -0.002,    0.001
6,Feat_Turn_right,    0.0012,    0.000,    3.282, 0.001,    0.000,    0.002
7,old_dist,  4.27e-05, 3.28e-06,   13.008, 0.000, 3.63e-05, 4.91e-05
