,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0055,    0.001,    4.456, 0.000,    0.003,    0.008
2,Feat_Curve,    0.0061,    0.001,    9.909, 0.000,    0.005,    0.007
3,Feat_Road_immission,    0.0010,    0.001,    0.872, 0.383,   -0.001,    0.003
4,Feat_Traffic_light,    0.0040,    0.000,   26.460, 0.000,    0.004,    0.004
5,Feat_Turn_left,    0.0022,    0.001,    4.284, 0.000,    0.001,    0.003
6,Feat_Turn_right,    0.0017,    0.000,    5.440, 0.000,    0.001,    0.002
7,old_dist,-3.297e-07, 1.97e-07,   -1.675, 0.094,-7.16e-07, 5.66e-08
