,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0046,    0.000,   12.652, 0.000,    0.004,    0.005
2,Feat_Curve,    0.0037,    0.000,   18.657, 0.000,    0.003,    0.004
3,Feat_Road_immission,    0.0025,    0.000,   11.389, 0.000,    0.002,    0.003
4,Feat_Traffic_light,    0.0035,    0.000,   32.887, 0.000,    0.003,    0.004
5,Feat_Turn_left,    0.0029,    0.000,   11.858, 0.000,    0.002,    0.003
6,Feat_Turn_right,    0.0029,    0.000,   21.746, 0.000,    0.003,    0.003
7,old_dist,  9.64e-07, 1.02e-07,    9.456, 0.000, 7.64e-07, 1.16e-06
