,,coef,std err,t,P>|t|,[0.025,0.975]
1,Feat_4-ways intersection,    0.0086,    0.000,   21.919, 0.000,    0.008,    0.009
2,Feat_Curve,    0.0049,    0.000,   10.938, 0.000,    0.004,    0.006
3,Feat_Road_immission,    0.0010,    0.001,    1.250, 0.212,   -0.001,    0.003
4,Feat_Traffic_light,    0.0020,    0.000,   18.425, 0.000,    0.002,    0.002
5,Feat_Turn_left,    0.0005,    0.000,    1.498, 0.134,   -0.000,    0.001
6,Feat_Turn_right,    0.0004,    0.000,    1.399, 0.162,   -0.000,    0.001
7,old_dist,-1.528e-05, 2.54e-06,   -6.009, 0.000,-2.03e-05,-1.03e-05
